127.0.0.1 - - [23/Apr/2018:13:06:50 +0200] "GET /LETTA/rest/events?search=a HTTP/1.1" 200 4176
127.0.0.1 - - [23/Apr/2018:13:06:51 +0200] "GET /LETTA/rest/events?search= HTTP/1.1" 200 4176
127.0.0.1 - - [23/Apr/2018:13:08:46 +0200] "GET /LETTA HTTP/1.1" 302 -
127.0.0.1 - - [23/Apr/2018:13:08:46 +0200] "GET /LETTA/ HTTP/1.1" 200 783
127.0.0.1 - - [23/Apr/2018:13:08:46 +0200] "GET /LETTA/inline.bundle.js HTTP/1.1" 200 5830
127.0.0.1 - - [23/Apr/2018:13:08:46 +0200] "GET /LETTA/polyfills.bundle.js HTTP/1.1" 200 200843
127.0.0.1 - - [23/Apr/2018:13:08:46 +0200] "GET /LETTA/styles.bundle.js HTTP/1.1" 200 510515
127.0.0.1 - - [23/Apr/2018:13:08:46 +0200] "GET /LETTA/vendor.bundle.js HTTP/1.1" 200 3537273
127.0.0.1 - - [23/Apr/2018:13:08:46 +0200] "GET /LETTA/main.bundle.js HTTP/1.1" 200 53570
127.0.0.1 - - [23/Apr/2018:13:08:46 +0200] "GET /LETTA/scripts.bundle.js HTTP/1.1" 200 381409
127.0.0.1 - - [23/Apr/2018:13:08:49 +0200] "GET /LETTA/assets/imagenes/logo.png HTTP/1.1" 200 1447
127.0.0.1 - - [23/Apr/2018:13:08:50 +0200] "GET /LETTA/null HTTP/1.1" 404 1008
127.0.0.1 - - [23/Apr/2018:13:08:51 +0200] "GET /LETTA/rest/events?search= HTTP/1.1" 200 4176
127.0.0.1 - - [23/Apr/2018:13:08:51 +0200] "GET /LETTA/assets/imagenes/Cine.jpg HTTP/1.1" 200 55442
127.0.0.1 - - [23/Apr/2018:13:08:51 +0200] "GET /LETTA/assets/imagenes/Deportes.jpg HTTP/1.1" 200 91270
127.0.0.1 - - [23/Apr/2018:13:08:51 +0200] "GET /LETTA/assets/imagenes/Otros.jpg HTTP/1.1" 200 95461
127.0.0.1 - - [23/Apr/2018:13:08:51 +0200] "GET /LETTA/assets/imagenes/Literatura.jpg HTTP/1.1" 200 76577
127.0.0.1 - - [23/Apr/2018:13:08:51 +0200] "GET /LETTA/assets/imagenes/Series.jpg HTTP/1.1" 200 50285
127.0.0.1 - - [23/Apr/2018:13:09:06 +0200] "GET /LETTA/null HTTP/1.1" 404 1008
127.0.0.1 - - [23/Apr/2018:13:09:06 +0200] "GET /LETTA/rest/events?category=all&date=none&order=none HTTP/1.1" 200 4176
127.0.0.1 - - [23/Apr/2018:13:09:08 +0200] "GET /LETTA/rest/events?category=Otros&date=none&order=none HTTP/1.1" 200 747
127.0.0.1 - - [23/Apr/2018:13:09:13 +0200] "GET /LETTA/rest/events?category=Otros&date=2018-04-26&order=none HTTP/1.1" 200 2
127.0.0.1 - - [23/Apr/2018:13:09:16 +0200] "GET /LETTA/rest/events?category=Otros&date=&order=none HTTP/1.1" 200 2
127.0.0.1 - - [23/Apr/2018:13:10:00 +0200] "GET /LETTA/rest/events?category=Otros&date=&order=none HTTP/1.1" 200 2
127.0.0.1 - - [23/Apr/2018:13:10:00 +0200] "GET /LETTA/rest/events?category=Otros&date=&order=none HTTP/1.1" 200 2
127.0.0.1 - - [23/Apr/2018:13:10:00 +0200] "GET /LETTA/rest/events?category=Otros&date=&order=none HTTP/1.1" 200 2
127.0.0.1 - - [23/Apr/2018:13:10:00 +0200] "GET /LETTA/rest/events?category=Otros&date=&order=none HTTP/1.1" 200 2
127.0.0.1 - - [23/Apr/2018:13:10:01 +0200] "GET /LETTA/rest/events?category=Otros&date=&order=none HTTP/1.1" 200 2
127.0.0.1 - - [23/Apr/2018:13:10:01 +0200] "GET /LETTA/rest/events?category=Otros&date=&order=none HTTP/1.1" 200 2
127.0.0.1 - - [23/Apr/2018:13:10:03 +0200] "GET /LETTA/rest/events?category=Series&date=&order=none HTTP/1.1" 200 2
127.0.0.1 - - [23/Apr/2018:13:10:04 +0200] "GET /LETTA/rest/events?category=Otros&date=&order=none HTTP/1.1" 200 2
127.0.0.1 - - [23/Apr/2018:13:10:04 +0200] "GET /LETTA/rest/events?category=Otros&date=&order=none HTTP/1.1" 200 2
127.0.0.1 - - [23/Apr/2018:13:10:07 +0200] "GET /LETTA/rest/events?category=Literatura&date=&order=none HTTP/1.1" 200 2
